algorithm,strat,bench,region,num_threads,size,obs,min,mean,max,stddev,ci,speedup
4. OpenMP,omp,1,spiral,8,512,10,0.07325890278000001,0.07799855978000002,0.09080006978,0.005977912025505859,0.00370514825993098,4.1634404616695075
4. OpenMP,omp,1,spiral,8,1024,10,0.26856933978,0.28579813308,0.29965721478,0.010485685411406282,0.0064990951506965385,4.510420270237267
4. OpenMP,omp,1,spiral,8,2048,10,1.01758427378,1.04964774018,1.08784308178,0.021802607492478164,0.013513396126949151,4.942528384094215
4. OpenMP,omp,1,spiral,8,4096,10,4.04747384978,4.10928620118,4.24447859278,0.0754263964409685,0.04674976485664657,4.930040986807527
4. OpenMP,omp,1,spiral,8,8192,10,16.01639928478,16.263232776979997,16.81934652878,0.24941220936526864,0.15458728893840942,4.962855642550044
4. OpenMP,omp,1,spiral,16,16,10,0.0032659297800000007,0.004144143180000001,0.005524510780000002,0.0006375855698855387,0.00039517963040257374,0.7227159656197012
4. OpenMP,omp,1,spiral,16,32,10,0.003307115780000001,0.003568860380000001,0.003773305780000001,0.0001604364822616381,9.94395619314678e-05,1.0975667364157293
4. OpenMP,omp,1,spiral,16,64,10,0.00461422578,0.005478922380000001,0.006420781780000001,0.000618642477022643,0.0003834385798051071,1.496757459082674
4. OpenMP,omp,1,spiral,16,128,10,0.007864858780000001,0.008782721980000002,0.009507880780000002,0.0005910849011595922,0.0003663582173271633,2.765777738987475
4. OpenMP,omp,1,spiral,16,256,10,0.02025467178,0.022320619680000004,0.026421379780000004,0.0018981170178982037,0.001176465116248643,3.8950337574140317
4. OpenMP,omp,1,spiral,16,512,10,0.06950151478000001,0.07512088908,0.08298131578000001,0.0049136057283796315,0.003045484382643136,4.322930195809658
4. OpenMP,omp,1,spiral,16,1024,10,0.26621197478,0.27438360248000004,0.28266162778000004,0.005736324244280625,0.0035554106017974926,4.69805659299178
4. OpenMP,omp,1,spiral,16,2048,10,0.92965018178,1.00263711598,1.06821013478,0.04483409040275379,0.027788457128941173,5.174268602722947
4. OpenMP,omp,1,spiral,16,4096,10,3.79095496978,3.9022762489800003,4.02018314478,0.07307131405754394,0.04529006967249049,5.1915723300305565
4. OpenMP,omp,1,spiral,16,8192,10,15.27055895878,15.355232558280003,15.71187141378,0.12861392344149486,0.0797157356295865,5.2563239434506395
4. OpenMP,omp,1,spiral,32,16,10,0.0035141807800000003,0.003717788380000001,0.004493824780000001,0.0002877789297758496,0.00017836722861667745,0.8055968048401936
